[UE1] [2025-07-19 11:35:22] [  5]  43.00-44.00  sec  3.57 MBytes  30.0 Mbits/sec  0.395 ms  0/2586 (0%)
[UE1] [2025-07-19 11:35:23] [  5]  44.00-45.00  sec  3.57 MBytes  29.9 Mbits/sec  0.140 ms  8/2593 (0.31%)
[UE1] [2025-07-19 11:35:24] [  5]  45.00-46.00  sec  3.57 MBytes  30.0 Mbits/sec  0.231 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:25] [  5]  46.00-47.00  sec  3.58 MBytes  30.0 Mbits/sec  0.141 ms  0/2593 (0%)
[UE1] [2025-07-19 11:35:26] [  5]  47.00-48.00  sec  3.58 MBytes  30.0 Mbits/sec  0.184 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:27] [  5]  48.00-49.00  sec  3.58 MBytes  30.0 Mbits/sec  0.186 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:28] [  5]  49.00-50.00  sec  3.58 MBytes  30.0 Mbits/sec  0.243 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:29] [  5]  50.00-51.00  sec  3.58 MBytes  30.0 Mbits/sec  0.198 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:30] [  5]  51.00-52.00  sec  3.58 MBytes  30.0 Mbits/sec  0.209 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:31] [  5]  52.00-53.00  sec  3.58 MBytes  30.0 Mbits/sec  0.283 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:32] [  5]  53.00-54.00  sec  3.58 MBytes  30.0 Mbits/sec  0.107 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:33] [  5]  54.00-55.00  sec  3.58 MBytes  30.0 Mbits/sec  0.264 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:34] [  5]  55.00-56.00  sec  3.58 MBytes  30.0 Mbits/sec  0.100 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:35] [  5]  56.00-57.00  sec  3.58 MBytes  30.0 Mbits/sec  0.165 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:36] [  5]  57.00-58.00  sec  3.58 MBytes  30.0 Mbits/sec  0.156 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:37] [  5]  58.00-59.00  sec  3.58 MBytes  30.0 Mbits/sec  0.203 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:38] [  5]  59.00-60.00  sec  3.58 MBytes  30.0 Mbits/sec  0.172 ms  0/2592 (0%)
[UE1] [2025-07-19 11:35:39] [  5]  60.00-61.00  sec  3.57 MBytes  30.0 Mbits/sec  0.179 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:40] [  5]  61.00-62.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:41] [  5]  62.00-63.00  sec  3.57 MBytes  30.0 Mbits/sec  0.200 ms  0/2587 (0%)
[UE1] [2025-07-19 11:35:42] [  5]  63.00-64.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:43] [  5]  64.00-65.00  sec  3.58 MBytes  30.0 Mbits/sec  0.202 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:44] [  5]  65.00-66.00  sec  3.58 MBytes  30.0 Mbits/sec  0.216 ms  0/2591 (0%)
[UE1] [2025-07-19 11:35:45] [  5]  66.00-67.00  sec  3.58 MBytes  30.0 Mbits/sec  0.256 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:46] [  5]  67.00-68.00  sec  3.58 MBytes  30.0 Mbits/sec  0.269 ms  0/2590 (0%)
[UE1] [2025-07-19 11:35:47] [  5]  68.00-69.00  sec  3.58 MBytes  30.0 Mbits/sec  0.234 ms  0/2589 (0%)
[UE1] [2025-07-19 11:35:48] [  5]  69.00-70.00  sec  3.58 MBytes  30.0 Mbits/sec  0.201 ms  0/2590 (0%)
